센터명,소재지,홈페이지
중앙,서울특별시 용산구 청파로 345 주연빌딩 3층(서계동),http://central.childcare.go.kr/
서울,서울특별시 마포구 서강로 75-16 1층(창전동),http://seoul.childcare.go.kr/
부산,부산광역시 연제구 거제천로 262,http://busan.childcare.go.kr/
대구,대구광역시 서구 달구벌대로 371길 30,http://daegu.childcare.go.kr/
인천,인천광역시 남동구 소래로 500(수산동) 남동체육관 1층 내,http://incheon.childcare.go.kr/
광주,광주광역시 광산구 첨단강변로 100,http://gwangju.childcare.go.kr/
대전,대전광역시 유성구 월드컵대로 32 동관 1층 육아종합지원센터,http://daejeon.childcare.go.kr/
울산,울산광역시 동구 바드래 1길 61(전하동),http://ulsan.childcare.go.kr/
세종,"세종특별자치시 도움1로 116(종촌동, 종촌종합복지센터 1층)",http://sejong.childcare.go.kr/
경기,경기도 수원시 권선구 호매실로 46-16(경기종합노동복지회관 5층),http://gyeonggi.childcare.go.kr/
경기북부,"경기도 의정부시 추동로 140, 3층",http://gyeongginorth.childcare.go.kr/
강원,강원도 춘천시 성심로 47번길 35,http://gangwon.childcare.go.kr/
충북,"충청북도 청주시 상당구 용담로7, 센트럴칸타빌 2층 238호",http://chungbuk.childcare.go.kr/
충남,충청남도 예산군 삽교읍 예학로 10-22,http://chungnam.childcare.go.kr/
전북,전라북도 전주시 덕진구 들사평로 38 전라북도 여성일자리 센터 2층,http://jeonbuk.childcare.go.kr/
전남,전라남도 무안군 삼향읍 어진누리길 30번지 전남여성플라자 2층,http://jeonnam.childcare.go.kr/
경북,경상북도 예천군 호명면 도청대로 53 경북여성가족플라자 누리관,http://gyeongbuk.childcare.go.kr/
경남,경상남도 창원시 의창구 창원대학로 20 창원대학교 두레관 4층,http://gyeongnam.childcare.go.kr/
제주,제주특별자치도 제주시 해안마을북길 13-26 2~3층,http://jeju.childcare.go.kr/
