시도,센터명,소재지,홈페이지
서울,강남구,서울특별시 강남구 삼성로 72길 7(대치동),http://gncare.go.kr/
서울,강동구,서울특별시 강동구 성내로6길 16(성내동 556-1),http://www.gdkids.or.kr/
서울,강북구,서울특별시 강북구 인수봉로 66길 9번지 (수유동 410-293),http://childcare.gangbuk.go.kr/
서울,강서구,서울특별시 강서구 수명로 2길 50(내발산동),http://gskids.or.kr/
서울,관악구,"서울특별시 관악구 쑥고개로 128, 2~3층(봉천동 1571-1)",http://www.gwanak.go.kr/site/educare/main.do
서울,광진구,서울특별시 광진구 동일로56가길 31 3층,http://gjcare.go.kr/
서울,구로구,서울특별시 구로구 가마산로 203 우리은행 구로동지점 3층,http://guroccic.guro.go.kr/index.php
서울,금천구,서울특별시 금천구 시흥대로 73길 70 금천구청 지하1층,http://happycare.or.kr/
서울,노원구,"서울특별시 노원구 덕릉로 859 상계3,4동 공공복합청사 4층",https://www.nwscc.or.kr/
서울,도봉구,서울특별시 도봉구 해등로 26길 20-1,http://doccic.go.kr/
서울,동대문구,서울특별시 동대문구 황물로 62(답십리 542-9),http://ddmccic.or.kr/
서울,동작구,서울특별시 동작구 여의대방로 36길 11,http://dccic.go.kr/
서울,마포구,서울특별시 마포구 상암산로 1길 71,http://mcic.or.kr/
서울,서대문구,서울특별시 서대문구 모래내로 15길 31,http://www.sdmccic.or.kr/index.php
서울,서초구,서울특별시 서초구 남부순환로 347 길 46,http://youngua.seocho.go.kr/
서울,성동구,"서울특별시 성동구 고산자로16길 10-53(행당동), 3층",http://ccic.sd.go.kr/
서울,성북구,서울특별시 성북구 오패산로 10길 19 (하월곡동 222-6),https://www.gongdan.go.kr/childCare/main/main.do
서울,송파구,서울특별시 송파구 중대로 235 송파어린이 문화회관 4층,http://www.spscc.or.kr/
서울,양천구,서울특별시 양천구 목동동로 81 해누리타운 3층,http://www.ychccic.or.kr/
서울,영등포구,서울특별시 영등포구 신길로 40길 5(신길4동 232-20),http://www.ydpccic.or.kr/
서울,용산구,서울특별시 용산구 백범로 329 용산꿈나무종합타운 2층,http://www.ysccic.or.kr/index.html
서울,은평구,서울특별시 은평구 서오릉로 25가길 4,http://www.epmjuccic.co.kr/index.php
서울,종로구,"서울특별시 종로구 성균관로 1길 6-3, 3~4층",http://www.jnccic.or.kr/
서울,중구,서울특별시 중구 창경궁로 17 중구청 1층,http://www.jgkids.or.kr/
서울,중랑구,서울특별시 중랑구 망우로67길 10(망우동) 망우본동복합청사 6층,http://www.jccic.or.kr/main/main.php
부산,기장군,부산광역시 기장군 정관면 정관중앙로 110,http://gijangchild.or.kr/
부산,동래구,부산광역시 동래구 시실로 129,http://bdscc.or.kr/
부산,부산진구,부산광역시 부산진구 가야대로 575-18(가야동),http://bjscfc.or.kr/
부산,북구,부산광역시 북구 만덕1로 104번가길 37(만덕동),http://bbgscc.or.kr/
부산,사상구,부산광역시 사상구 낙동대로1210번길17(괘법동),https://www.sasangicare.kr/
부산,수영구,부산광역시 수영구 장대골로 20-14번지 3층,http://www.bsyscc.or.kr/
부산,연제구,부산광역시 부산연제구 거제대로 124번길 22,http://www.yjscfc.or.kr/
부산,해운대구,부산광역시 해운대구 반송로513번길 66-11,http://ecohud.or.kr/
대구,동구,대구광역시 동구 팔공로 53길 36,http://www.dgicare.kr/main/index.htm
인천,계양구,인천광역시 계양구 계양산로 102번길 5(계산동)사회복지회관 1층,http://www.gyboyuk.go.kr/
인천,남동구,"인천광역시 남동구 소래로 645, 평생학습관 2층",
인천,미추홀구,인천광역시 미추홀구 숙골로 112번길 22,http://www.nccic.or.kr/
인천,부평구,인천광역시 부평구 영성동로 18번길 51(삼산동),http://jbpeducare.or.kr/
인천,서구,인천광역시 서구 승학로 264(심곡동),http://isscc.or.kr/
인천,연수구,인천광역시 연수구 원인재로 115 연수구청 청사 내 604호,http://www.ys-scc.com/
광주,동구,광주광역시 동구 지원로 31-9(복합커뮤니티센터 3층),https://blog.naver.com/kjdgscc
광주,서구,광주광역시 서구 상무자유로 73 2층,https://gjsgscc.or.kr/
대전,대덕구,대전광역시 대덕구 동춘당로 94번길 11 송촌동 복지센터 5층,http://www.daedeokchildcare.or.kr/
울산,남구,울산광역시 남구 돋질로 251(달동 1322-9),http://www.namgui.or.kr/
울산,동구,울산광역시 동구 바드래1길 61,http://www.udscc.or.kr/
울산,북구,울산광역시 북구 산업로 1022,http://bukguscc.or.kr/
울산,울주군,울산광역시 울주군 범서읍 구영로 101-18,http://www.uljukids.or.kr/
