병원명,업무구분1,업무구분2,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,홈페이지
학교법인연세대학교의과대학세브란스병원,지역응급의료센터,상급종합병원,02-2228-0114,서울특별시 서대문구 연세로 50-1 (신촌동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.yuhs.or.kr
한림대학교한강성심병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-2639-5114,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,-,-,-,-
에이치플러스양지병원,지역응급의료센터,종합병원,02-1877-8875,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
삼육서울병원,지역응급의료센터,종합병원,02-2244-0191,서울특별시 동대문구 망우로 82 (휘경동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,09:00~17:00,-,http://www.symcs.co.kr
재단법인아산사회복지재단서울아산병원,지역응급의료센터,상급종합병원,02-3010-3114,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~11:30,-,-,-
국립중앙의료원,그밖의 응급의료시설,종합병원,222607114,서울특별시 중구 을지로 245 (을지로6가),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
서울성심병원,지역응급의료기관,종합병원,02-966-1616,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",09:00~17:40,09:00~17:30,09:00~17:40,09:00~17:30,09:00~17:40,09:00~13:00,-,-,http://www.sshosp.co.kr
의료법인청구성심병원,지역응급의료기관,종합병원,02-350-3300,서울특별시 은평구 통일로 873 (갈현동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:20,-,-,-
인제대학교상계백병원,지역응급의료센터,종합병원,02-950-1114,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,-
의료법인한전의료재단한일병원,지역응급의료센터,종합병원,02-901-3114,서울특별시 도봉구 우이천로 308 (쌍문동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
가톨릭대학교여의도성모병원,지역응급의료센터,종합병원,1661-7575,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,-
녹색병원,지역응급의료기관,종합병원,02-490-2000,서울특별시 중랑구 사가정로49길 53 (면목동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.greenhospital.co.kr/main.php
서울특별시서울의료원,지역응급의료센터,종합병원,02-2276-7000,서울특별시 중랑구 신내로 156 (신내동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,http://www.seoulmc.or.kr
씨엠병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-2678-0001,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,http://www.cmhospital.co.kr
한양대학교병원,권역응급의료센터,상급종합병원,02-2290-8114,서울특별시 성동구 왕십리로 222-1 (사근동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,http://seoul.hyumc.com
부민병원,지역응급의료기관,종합병원,1577-7582,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.bumin.co.kr/seoul
순천향대학교부속서울병원,지역응급의료센터,종합병원,02-709-9114,서울특별시 용산구 대사관로 59 (한남동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,-
한국원자력의학원원자력병원,지역응급의료기관,종합병원,02-970-2114,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,http://www.kcch.re.kr
경찰병원,지역응급의료기관,종합병원,02-3400-1114,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.nph.go.kr
노원을지대학교병원,지역응급의료센터,종합병원,02-970-8000,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.eulji.or.kr/default.asp
의료법인동신의료재단동신병원,지역응급의료기관,종합병원,02-396-9161,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
강북삼성병원,지역응급의료센터,상급종합병원,02-2001-2001,서울특별시 종로구 새문안로 29 (평동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,http://www.kbsmc.co.kr
세란병원,지역응급의료기관,종합병원,02-737-0181,서울특별시 종로구 통일로 256 (무악동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,http://www.seran.co.kr/
강동경희대학교의대병원,지역응급의료센터,종합병원,02-440-7114,서울특별시 강동구 동남로 892 (상일동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.khnmc.or.kr
이화여자대학교의과대학부속서울병원,지역응급의료센터,종합병원,1522-7000,"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
한국보훈복지의료공단중앙보훈병원,지역응급의료센터,종합병원,02-2225-1111,서울특별시 강동구 진황도로61길 53 (둔촌동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,-
서울현대병원,응급의료기관 외의 의료기관(응급의료시설),병원,1588-6853,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
한림대학교강남성심병원,지역응급의료센터,종합병원,02-829-5114,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~12:00,-,-,-
의료법인풍산의료재단동부제일병원,지역응급의료기관,종합병원,02-437-5011,"서울특별시 중랑구 망우로 511 (망우동, 동부제일병원)",08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~12:30,-,-,http://www.dbjeil.co.kr
이화여자대학교의과대학부속목동병원,권역응급의료센터,상급종합병원,02-2650-5114,서울특별시 양천구 안양천로 1071 (목동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,09:00~12:00,-,-,http://www.eumc.ac.kr/mokdong/
홍익병원,지역응급의료기관,종합병원,02-2693-5555,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.hih.or.kr/
성심의료재단강동성심병원,지역응급의료센터,종합병원,02-2224-2114,서울특별시 강동구 성안로 150 (길동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,www.kdh.or.kr
(학)고려대학교의과대학부속병원(안암병원),권역응급의료센터,상급종합병원,1577-0083,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-,-
