title,category,introduce,place,place_detail,phone_num,open_time,image_link
슬라임파티 키즈체험카페,슬라임카페,"안전한 KC완구인증 슬라임.행운을 가져다주는 마리모.나만의 스타일의 만드는 데코덴키즈체험카페 슬라임파티에서 모두 체험할수있습니다.부천 최대 슬라임메뉴, 슬라임토핑, 데코파츠, 마리모 파츠 장식이 있습니다. ",경기 부천시 옥길동,경기도 부천시 옥길로 110-7 라피에스타QV 401호,,"평일: 00:00 ~ 20:007시 입장마감(방학기간 11시오픈)
예약문의 010-8168-2091주말: 10:00 ~ 20:007시 입장마감
예약문의 010-8168-2091",https://cloud.monpass.im/monpass/upload/introduce/2020/09/02/introduce_20200902164901955.jpg
쇠꼴마을,"관람,체험","봄 - 체험학습 (허브화분 만들기, 떡메치기, 미꾸라지 잡기 등)여름 - 신나는 물놀이가을 - 체험학습 (배따기, 고구마캐기, 농사체험, 떡메치기 등)...",경기 파주시 법원읍 금곡리,경기 파주시 법원읍 금곡리 420-3,031-959-0123,매일: 10:00 ~ 20:00명절당일 휴무,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20170807_264%2F1502112689014rpj5n_JPEG%2F186757626145950_0.jpeg
키즈노리방방,"키즈카페,실내놀이터","열체크,손소독후 입장가능하며 상시 소독중으로 안전하고 깨끗한 어린이놀이시설.가격은저렴하게 맛은 뒤지지않는음료드시며 편하게 아이들과 쉴수있는곳.뒷편에지상주차가능 지하2,3층 주차장자리많음(지하는 RV,대형차는 주차불가)",서울 노원구 공릉동,서울특별시 노원구 공릉로46길 3 평화타운 3층 301호,,매일: 11:00 ~ 20:00,http://ldb.phinf.naver.net/20200507_156/1588852749882kWa85_JPEG/MU3fV2ngL5Zu6BVVE2V96LYa.jpg
스윗 클라우드,카페,"스윗 클라우드는솜사탕 테마 키즈존 카페입니다솜사탕은 체험, 막대, 컵 3가지 유형이 있구요특히 솜사탕 만들기 체험은어린이가 직접 솜사탕을 만들고 꾸미고 사진찍고 달콤하게 맛볼 수 있습니다",세종시 아름동,세종특별자치시 보듬3로 95 해피라움 3차 121호,,,https://cloud.monpass.im/app/monkiz/upload/main/2020/08/5/1596594040.jpg
구름나무 히트슬라임카페,슬라임카페,"슬라임은 2019년 7월부터 액티부터 파츠까지 완구KC3세 이상 인증 받은 재료들만 사용하고 있어 만3세부터는 안전하게 슬라임을 즐기실 수 있답니다.^^참착한,참안전,참좋은 슬라임 참슬협회에 가입되어있는슬라임 카페입니다. 보드게임과 과학조립(코딩) 1시간 4000원 키즈쿠킹 9900원~ 아이들을 위한 체험이 많이 준비되어 있습니다.믿음과 많은 사랑 부탁드립니다~^^",경기 군포시 금정동,경기 군포시 당산로116번길 4-14 103호,031-455-9945,목요일: 11:00 ~ 20:00월요일 휴무금요일: 11:00 ~ 20:00월요일 휴무토요일: 11:00 ~ 20:00월요일 휴무일요일: 15:00 ~ 20:00전도데이화요일: 11:00 ~ 20:00월요일 휴무수요일: 11:00 ~ 20:00월요일 휴무,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20190202_16%2F1549111231098cBcUQ_JPEG%2FbDzIDnDgU2UaetXVlNJ8pU-U.jpg
톡톡블럭 아띠,슬라임카페,기족 블럭방처럼 이용시간에 제한이 없습니다.입장료가 없습니다.의무적으로 음료 드실필요 없습니다.원주유일 톡톡블럭 정품판매점입니다.아이들과 편안하게 즐길수있는 공간입니다.,강원 원주시 명륜동,강원 원주시 황소마을길 14,010-4668-8255,평일: 13:00 ~ 18:00금요일: 휴무 ~ 주말: 11:00 ~ 19:00공휴일: 11:00 ~ 19:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181129_182%2F1543484647020u2t8u_JPEG%2FpmS81IhMe229Rab-2nZ6GT_1.jpg
더나루 슬라임카페,슬라임카페,“카페 & 슬라임 & 소이캔들 / 디퓨져 / 석고방향제 / 향수 / 천연비누 / 천연화장품”커피와 함께 다양한 체험을 해보세요~^^,강원 원주시 단계동,강원 원주시 백간길 55 세경3차아파트 상가동 2층 208호,010-5154-1913,목요일: 11:00 ~ 18:30금요일: 11:00 ~ 21:00토요일: 11:00 ~ 21:00일요일: 11:00 ~ 21:00월요일: 11:00 ~ 18:30화요일: 휴무 ~ 수요일: 11:00 ~ 18:30,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181113_152%2F1542078454031Eijlf_JPEG%2F7BMDioVDHnDrYPuOPwWX_CHY.jpg
스위티라이스 펀펀슬라임 폰데코,슬라임카페,"폰데코와 슬라임, 워터멜론 인스샵  ,에코백만들기 등 만들기 체험을 할수 있는 공간입니다.",충남 서산시 석남동,충남 서산시 한마음5로 11 2층,041-920-2366,평일: 13:00 ~ 19:00월요일휴무주말: 10:00 ~ 19:00공휴일 방학 10시오픈~,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20180920_72%2F1537418197681cudt4_JPEG%2F2d8bp1yNndNe1zZ0deaySzal.jpg
토이토핑슬라임 안산점,슬라임카페,"누구나 즐길수 있는 신개념 놀이공간.나만의 개성있는 슬라임을 만들수있는 전문 카페KC 인증받은 안전한 재료넓고, 쾌적한 공간",경기 안산시 상록구 사동,경기 안산시 상록구 석호로 223 2층 토이토핑슬라임카페,070-8250-1101,"평일: 13:00 ~ 20:00학기중 평일매일: 11:00 ~ 20:00방학중 무휴주말: 10:00 ~ 21:00주말, 공휴일공휴일: 10:00 ~ 21:00주말, 공휴일",https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20191212_99%2F1576160511360Xy2aa_JPEG%2FDC5LaVLzu5LID57sTh9QXNAI.jpg
모모슬라임카페,슬라임카페,"아이들의 오감과 생각이 넘치는 모모만의 슬라임 ! 다른 곳과 비교가 안되는 다양한 파츠에아이들의 상상력이 더해지는 폰 & 보석함, 오르골, 손지갑 데코 !!!  필통, 실내화 꾸미기 !!! 손거울, 머리핀 데코 !!! 까지반지와 귀걸이도 제작하여 드리며, 직접 만든 수제 머리핀과 키링도 있습니다.더블어 커피가 맛있는....  카페 분위기에 다양한 음료들도 준비되어 있습니다.세상에 하나뿐인 핸드메이드 에코백 주문제작도 가능합니다.생일이나 모임 장소로 많은 이용 부탁드립니다.",충북 충주시 칠금동,충북 충주시 금릉로 48 부영1차아파트 상가 109호,043-724-1441,평일: 13:00 ~ 19:00주말: 11:00 ~ 19:00공휴일: 11:00 ~ 19:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181030_207%2F1540907675435jd6yu_JPEG%2F0ZBJHUAz0BX2Udew08HEmgx_.jpg
