약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,구분
푸른약국,02-935-4167,서울특별시 노원구 한글비석로 264,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~15:30,-,-,주간
연세우리약국,02-2293-1339,"서울특별시 성동구 왕십리로 296-1, 조흥은행 (행당동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~22:00,09:00~19:00,09:00~13:00,09:00~21:00,09:00~21:00,주간
새싹약국,02-885-4715,"서울특별시 관악구 신림로 169, 영창빌딩 1층 (신림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
새시민약국,02-856-4272,서울특별시 관악구 난우길 4 (신림동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,주간
상도프라자약국,02-822-0667,"서울특별시 동작구 상도로 356, 1층 (상도동, 교동빌딩)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,주간
연세약국,02-438-1996,"서울특별시 중랑구 망우로63길 5, 연세약국 (망우동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:30,-,-,주간
기쁨약국,02-488-2005,"서울특별시 광진구 면목로 190, 1층 (중곡동)",09:00~19:30,09:00~19:30,09:00~20:00,09:00~19:30,09:00~19:30,09:00~16:00,09:00~13:00,09:00~13:00,주간
원약국,02-468-8797,"서울특별시 광진구 아차산로 229, 한림타워 1층 103호 (화양동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,주간
건강과행복이열리는약국,02-933-9696,"서울특별시 노원구 한글비석로 242, 113호, 114호 (중계동, 삼부프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,12:00~19:00,-,주간
연약국,02-466-1288,서울특별시 광진구 아차산로 241,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,주간
블루밍약국,02-517-9096,"서울특별시 강남구 강남대로 492, 한맥빌딩 1층 일부호 (논현동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,-,-,주간
